en,zh,normalized_value
tea_like,茶感,tea_like
delicate,细腻,delicate
silky,丝滑,silky
smooth,顺滑,smooth
round,圆润,round
juicy,多汁,juicy
creamy,奶油感,creamy
dense,扎实,dense
heavy,厚重,heavy
syrupy,糖浆感,syrupy
